Prod_Id,Name,Brand,Category,Price,Stock,Color,Size,Availability,Cus_id
1,Thermostat Drone Heater,Bradford-Yu,Kitchen Appliances,74,139,Orchid,Medium,backorder,38
2,Ultra Speaker Iron Grill Advanced One,Douglas Group,Fitness Equipment,510,351,MediumSeaGreen,Small,backorder,27
3,Watch Headphones Kettle,Landry-Austin,Beauty & Personal Care,254,409,Lavender,XXL,pre_order,2
4,Portable Toaster Clock Monitor Silent,"Odom, Norton and Foster",Makeup,69,119,Pink,XL,in_stock,94
5,Pro Toaster Oven,"Fowler, Mendoza and Mcdaniel",Automotive,525,727,LightCoral,XL,in_stock,95
6,Mini Speakerphone Mixer,Burton-Gould,Team Sports,413,566,OliveDrab,Medium,out_of_stock,44
7,Eco Cooler Printer Speaker Prime Prime,"Soto, Raymond and Doyle",Health & Wellness,621,245,Moccasin,Extra Large,limited_stock,1
8,Webcam Trimmer Projector,"Padilla, Dunn and Pruitt",Laptops & Computers,414,559,HoneyDew,XL,limited_stock,27
9,Silent Headphones Stove Wireless Air Clean,Hughes and Sons,Home & Kitchen,858,525,Chocolate,5x7 in,discontinued,16
10,Wireless Charger Air Premium Ultra,Mcbride-Wyatt,Health & Wellness,153,550,MediumPurple,S,in_stock,4
11,Portable Fan Monitor Toaster Pro Smart Air,"Wilkins, Horne and Farrell",Health & Wellness,738,417,LightPink,12x18 in,limited_stock,44
12,Mini Iron Drone,"Miranda, Lucero and Blevins",Shoes & Footwear,367,511,WhiteSmoke,S,in_stock,44
13,Smart Grill Tablet Fridge Sense,Marshall Group,Grooming Tools,867,679,SaddleBrown,XL,discontinued,37
14,Portable Grill Air Edge,Tanner LLC,Clothing & Apparel,356,904,DarkBlue,S,backorder,88
15,Premium Brush Scale Grill Plus Plus,Mathews and Sons,Smartwatches,439,987,MintCream,M,out_of_stock,71
16,Vacuum Router Toaster,Stephenson PLC,Team Sports,245,412,LightSeaGreen,L,out_of_stock,6
17,Digital Clock Lock Eco Premium Portable,Leonard LLC,Office Supplies,999,14,SeaShell,XL,in_stock,83
18,Fast Watch Microphone Microphone,"Montes, Hickman and Stout",Haircare,868,416,Fuchsia,M,limited_stock,66
19,Clean Dock Mixer Router,Matthews Ltd,Toys & Games,411,202,Ivory,Large,discontinued,51
20,Cooker Brush,Contreras-Bonilla,Headphones & Earbuds,280,124,Orchid,50x70 cm,limited_stock,39
21,Premium Cooler Premium Sense,Greene-Ayers,"Accessories (Bags, Hats, Belts)",448,634,Magenta,M,in_stock,92
22,Digital Powerbank Rechargeable Wireless,Hanna Group,Health & Wellness,612,413,SkyBlue,S,pre_order,38
23,Digital Drone Advanced,Quinn-Fields,Clothing & Apparel,517,738,AliceBlue,Medium,discontinued,35
24,Automatic Thermostat Drone Heater,Livingston-Steele,Kitchen Appliances,182,86,Lavender,XL,discontinued,75
25,Clean Webcam Powerbank Portable Compact,"Pearson, Hubbard and Woodward",Toys & Games,935,415,MediumVioletRed,S,discontinued,14
26,Headphones,"Zavala, Pugh and Wiley",Team Sports,35,527,Salmon,Large,backorder,85
